competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
SilentSouthAustralia2023,8.6,d,A,5,UR3+ DR4+ DL5+ UL0+ U2+ R5+ D6+ L3+ ALL2+ y2 U2+ R1+ D3- L5- ALL3- DR UL,10,DL3- UL5- dr1- \3+ y2 dl4+ U2- L1+ DL4+ DR1- ALL2+
SingaporeWarmUpJanuary2026,8.6,d,A,1,UR2+ DR1+ DL4- UL2- U0+ R6+ D3+ L2- ALL6+ y2 U0+ R1+ D5+ L1- ALL3-,8,R3+ L4- dr2- dl5+ y2 D5- DL1+ DR1- /3+
SingaporeWarmUpJanuary2026,8.6,d,A,2,UR4- DR3+ DL1- UL0+ U3+ R4+ D4+ L2+ ALL3+ y2 U2+ R5+ D6+ L1- ALL1+,10,UR1+ DR4- DL2- L1+ \2+ y2 dr5+ U2- L2+ DL1- DR5-
SingaporeWarmUpJanuary2026,8.6,d,A,3,UR4- DR4- DL5+ UL4- U1- R2+ D5+ L2+ ALL2- y2 U4+ R0+ D4- L2+ ALL1+,8,DR6- UL3- ur5+ dr5+ y2 D2+ UL4- DL2+ ALL3-
SingaporeWarmUpJanuary2026,8.6,d,A,4,UR4+ DR4- DL3+ UL4- U3- R3- D5+ L2+ ALL3- y2 U2- R2+ D2+ L1+ ALL0+,9,DL4- UL3+ R3+ dl4+ /3- y2 R3- DL1- DR1- UR2+
SingaporeWarmUpJanuary2026,8.6,d,A,5,UR0+ DR2- DL2+ UL2- U2- R1+ D2- L4+ ALL4+ y2 U4- R5- D3- L0+ ALL4+,8,DR1+ DL1+ UL4+ L3+ y2 ur1+ U2+ DR3+ UR2+
SkowheganSpookfest2024,8.6,c,B,1,UR5+ DR2- DL5+ UL5- U3- R6+ D4+ L5- ALL2+ y2 U2- R3- D3- L1- ALL1+,9,UR3+ DL5+ ul4+ /5+ y2 R1- DL1+ DR2+ UR2+ /4+
SkowheganSpookfest2024,8.6,c,B,2,UR4- DR5- DL5+ UL2- U6+ R3+ D5+ L5+ ALL1- y2 U5+ R6+ D6+ L5+ ALL2-,8,DR6- DL1+ L3+ dl1+ /1+ y2 dl3+ UL5- DR6+
SkowheganSpookfest2024,8.6,c,B,3,UR5+ DR4+ DL4- UL6+ U1+ R4- D5+ L2- ALL1- y2 U2- R3- D1+ L1+ ALL2+,8,DR5- ur1- dl4- y2 dl4- R1+ DL1- UR2+ /3+
SkowheganSpookfest2024,8.6,c,B,4,UR2+ DR0+ DL3+ UL1- U1- R2- D5- L6+ ALL1+ y2 U3- R3- D6+ L5- ALL5-,9,DR2+ R2- L4+ ALL5+ y2 U1+ UL2+ DL3+ DR3+ \1+
SkowheganSpookfest2024,8.6,c,B,5,UR5- DR4+ DL1- UL2- U3- R3+ D5+ L3- ALL6+ y2 U0+ R0+ D5- L4+ ALL4-,9,UR2- DL1+ D3+ L5+ ul1+ y2 dr5- L3+ DL5+ \2+
SlovenianNationals2024,8.6,f,A,1,UR4+ DR6+ DL2- UL5- U1+ R4- D3+ L2+ ALL5- y2 U4+ R3- D0+ L6+ ALL2-,9,DR6- D1- L5+ dr4+ \2- y2 U1- UL6+ UR3+ ALL1-
SlovenianNationals2024,8.6,f,A,2,UR2+ DR4- DL1+ UL5- U5+ R5- D0+ L4- ALL4+ y2 U0+ R1- D1- L5+ ALL4+,8,UR2- R3- D3+ L4- y2 dl5+ ur4+ L5- DR1+
SlovenianNationals2024,8.6,f,A,3,UR3- DR5+ DL3+ UL4+ U1+ R2- D2+ L3+ ALL2- y2 U3+ R5- D3- L6+ ALL6+,8,DL2+ U2- ul1+ y2 D2- L3- UL3- DR5+ \4-
SlovenianNationals2024,8.6,f,A,4,UR2- DR2- DL6+ UL4+ U2- R1+ D0+ L1- ALL4+ y2 U3+ R2- D5+ L1- ALL1+,10,DR3+ DL3+ D2+ dr4- y2 dr5+ U1+ DL1+ DR6+ UR4- /3-
SlovenianNationals2024,8.6,f,A,5,UR3+ DR6+ DL0+ UL2+ U5- R3- D1+ L2- ALL1+ y2 U5- R2+ D1+ L3+ ALL1+,8,DR5+ R1+ dl3+ y2 dl2- R2- U5+ L2- DL1-
SouthDakotaPlayhouse2025,8.6,f,A,1,UR3- DR3+ DL0+ UL2+ U1- R0+ D5+ L2+ ALL5+ y2 U0+ R6+ D3- L3- ALL6+,8,U2+ D4+ L4- dl3- y2 dl2- R6+ DL3+ ALL1-
SouthDakotaPlayhouse2025,8.6,f,A,2,UR3- DR2+ DL0+ UL2+ U3+ R3+ D6+ L1- ALL2+ y2 U1- R0+ D4+ L4+ ALL0+,8,UR2- D4+ L1- dl5- /2+ y2 D4- U1+ L4-
SouthDakotaPlayhouse2025,8.6,f,A,3,UR2- DR4+ DL6+ UL4- U2+ R5- D2+ L4+ ALL2- y2 U5+ R0+ D2- L0+ ALL2-,8,UL4+ R3+ L2+ dl2- y2 ul6+ ur4- D2+ U5-
SouthDakotaPlayhouse2025,8.6,f,A,4,UR0+ DR3+ DL3+ UL4- U5- R1+ D1- L4+ ALL5- y2 U1+ R4- D4- L1- ALL2+,9,DR4- UL3- D1- y2 ur5- R1+ U1- DL1+ DR3+ \5-
SouthDakotaPlayhouse2025,8.6,f,A,5,UR3+ DR3- DL3- UL1- U3+ R6+ D5+ L5- ALL2- y2 U3- R6+ D4+ L3+ ALL2+,10,DR1+ UL3- U2- R5+ /4- y2 ul3- L4+ UL3+ DL2+ DR6+
SoutheastChampionship2022,8.6,2,A,1,UR0+ DR2+ DL5+ UL6+ U2+ R1+ D5+ L3+ ALL6+ y2 U0+ R4- D1- L2+ ALL3- UR,9,UL2- U6- R3- ur1+ /4+ y2 D1- DL2- DR4+ ALL5+
