competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_tickcount,tickcount_solution
AsianChampionship2018,22.0,1,B,2,UR2- DR2- DL2+ UL5+ U2+ R6+ D2+ L5+ ALL3+ y2 U1- R4- D6+ L2- ALL1+ UR DR UL,23,DR2- U5- \2- y2 dl1- ur2- U1+ DL2+ DR4+ \4-
AsianChampionship2018,22.0,1,B,3,UR2+ DR3+ DL4- UL5- U0+ R1- D2+ L1+ ALL4+ y2 U0+ R0+ D2+ L2+ ALL3- UR DL,25,UR1- DR5- DL4+ UL4+ R2+ dl1+ ALL5+ y2 dl1+ DL2-
AsianChampionship2018,22.0,1,B,4,UR5+ DR2+ DL1- UL1- U4- R3- D1+ L0+ ALL3- y2 U1+ R4+ D2+ L3- ALL6+ UR DR DL UL,22,UR2- DR2- UL2+ dr3+ \3+ y2 ul2+ U1+ L3+ DR2- UR2-
AsianChampionship2018,22.0,1,B,5,UR6+ DR2+ DL0+ UL1- U2- R2- D1+ L1+ ALL4+ y2 U0+ R1+ D3- L1- ALL1+,17,UR3- DR3- ALL3- y2 dr2- ur1+ D3+ UL1+ UR1-
Cube4funinWarsaw2024,22.0,f,A,1,UR4- DR1+ DL6+ UL2+ U1+ R0+ D6+ L3- ALL2+ y2 U3+ R2- D6+ L3+ ALL3-,24,UR1+ DR2+ DL3- L2- /3+ y2 ul1- dl1+ D4+ UL3- DR2+ ALL2+
Cube4funinWarsaw2024,22.0,f,A,2,UR2- DR1- DL3- UL4- U3+ R4- D4+ L4+ ALL1- y2 U5+ R2+ D2+ L3+ ALL5-,21,UL3+ R5- ur2- ALL4- y2 U2- UL2- DL1- DR1- UR1-
Cube4funinWarsaw2024,22.0,f,A,3,UR4+ DR1- DL3+ UL4+ U4- R2- D3+ L5- ALL1+ y2 U1+ R0+ D0+ L1+ ALL2-,17,UR2- UL2- R1+ D5- dr2+ \3+ y2 ur1+ UL1-
Cube4funinWarsaw2024,22.0,f,A,4,UR1+ DR5+ DL1- UL3- U1- R6+ D6+ L1+ ALL4- y2 U0+ R4- D1+ L3+ ALL5+,23,UL3+ D2+ ALL3- y2 dr1- ur5- R5+ L3- DR1-
Cube4funinWarsaw2024,22.0,f,A,5,UR2- DR2- DL5- UL3- U2+ R1+ D1+ L2- ALL3+ y2 U4- R4+ D5+ L0+ ALL5+,25,UR3+ D6- L2- y2 dl1+ dr1- R1+ U4+ DR5- \2+
MinnesotaCubeDays2020,22.0,d,B,1,UR1- DR4+ DL3- UL4- U4+ R0+ D2- L4- ALL5+ y2 U2+ R3+ D2+ L1- ALL6+ DL,19,DR3- U1+ D4+ L1- y2 ul1+ dl2+ D2- DL1+ DR1- UR2- /1+
MinnesotaCubeDays2020,22.0,d,B,2,UR2+ DR0+ DL5- UL4- U2+ R5- D4- L1- ALL1+ y2 U5+ R0+ D2+ L5+ ALL5+ UR DR DL UL,25,DL2- R3+ D1- dr4- \5- ALL1- y2 ul2+ D2- UL5-
MinnesotaCubeDays2020,22.0,d,B,3,UR2+ DR0+ DL0+ UL1- U1- R2- D2+ L3+ ALL2- y2 U2- R4- D1+ L0+ ALL4- UR UL,16,DL2- dr1- \2+ y2 ul4+ D1- R4+ U2+
MinnesotaCubeDays2020,22.0,d,B,4,UR2+ DR6+ DL2- UL2- U3+ R4+ D4+ L3+ ALL5+ y2 U3- R1- D2+ L0+ ALL2+ DL UL,21,UR2- DR2+ DL2+ UL1- y2 D2- U2+ UR1+ \4+ ALL5-
MinnesotaCubeDays2020,22.0,d,B,5,UR6+ DR2- DL0+ UL4+ U3- R4- D4+ L1- ALL1+ y2 U3+ R4- D2+ L6+ ALL1- DL,29,UL5+ D2- L4+ y2 dl3+ dr2+ R4+ U1+ UL4- DL2- ALL2+
OsloOpen2025,22.0,1,B,1,UR2- DR5- DL2+ UL3- U4+ R2+ D0+ L1+ ALL4+ y2 U4- R1+ D3+ L5- ALL5-,25,UR2+ DR3+ U1- dl4- /3- y2 ul2- D4- R1- UL4+ DL1+
OsloOpen2025,22.0,1,B,2,UR1+ DR4+ DL4- UL2- U3- R6+ D5- L0+ ALL2+ y2 U1+ R1- D4+ L4- ALL1+,26,DL5+ UL1+ U3+ R1+ \3+ y2 D4+ R2+ DL4+ UR1- /2+
OsloOpen2025,22.0,1,B,3,UR2- DR2+ DL5- UL1- U4- R5+ D4- L4- ALL1- y2 U3- R0+ D1- L5+ ALL3-,24,UR5- DL2- D3- y2 ul3- dl1+ ur1- L3+ UL3+ DL1+ /2-
OsloOpen2025,22.0,1,B,4,UR1- DR3+ DL3+ UL3- U2+ R2- D4- L3- ALL6+ y2 U3- R6+ D2+ L0+ ALL3+,25,DL2- UL2+ L3+ dr5+ /3+ y2 ul1- dr1+ D2- R3+ UR3+
OsloOpen2025,22.0,1,B,5,UR1+ DR1- DL2+ UL3- U6+ R1+ D1- L1+ ALL2- y2 U2+ R1+ D0+ L0+ ALL1-,10,UR1- U3- y2 ul2- R1+ UR2- \1+
VolgaNizhnyNovgorod2020,22.0,1,A,1,UR2+ DR0+ DL1- UL4- U2- R1- D3+ L5+ ALL4+ y2 U1- R1+ D2- L1+ ALL2- DL,23,DR1- U4+ D1- dl2+ ALL2+ y2 U1+ L4- DL3+ DR1- \4+
VolgaNizhnyNovgorod2020,22.0,1,A,2,UR3- DR0+ DL5- UL2+ U1- R1- D5- L3+ ALL0+ y2 U1- R4+ D3+ L3+ ALL0+ UL,21,UR2+ DR2+ D4- \2- y2 R1- L4- UL1+ DR3- \2-
VolgaNizhnyNovgorod2020,22.0,1,A,3,UR0+ DR2+ DL2- UL2+ U0+ R1- D5+ L3- ALL3+ y2 U1- R3- D3+ L0+ ALL4+ DR DL UL,21,UR1- DL4+ UL1- D3+ ul2+ \1- y2 ul3- D3- R2+ UR1+
VolgaNizhnyNovgorod2020,22.0,1,A,4,UR3+ DR5- DL1+ UL4+ U0+ R0+ D2- L4+ ALL4+ y2 U3- R5- D1- L2+ ALL4+ DL,24,UR4- DR6- U3- L3+ ul1+ y2 L1- UL1- DR1+ UR4+
VolgaNizhnyNovgorod2020,22.0,1,A,5,UR4+ DR4+ DL5- UL4+ U5+ R4- D4+ L1- ALL1+ y2 U2- R3- D1+ L1+ ALL2- UR DR DL,21,UR1- DR3- L2+ \2+ y2 ul5- dr2- D1- UL1- UR3+ \1-
BinusSpeedcubing2024,22.2,c,B,1,UR1- DR1+ DL1+ UL3- U4+ R2- D1- L4+ ALL6+ y2 U3+ R0+ D4- L4- ALL0+,18,DL1- R2+ L1- ALL3+ y2 dr1+ U3- DL4+ \3+
BinusSpeedcubing2024,22.2,c,B,2,UR1- DR1+ DL6+ UL1+ U0+ R0+ D4- L3- ALL3- y2 U4- R2+ D5+ L0+ ALL3-,21,DL4- D1+ ur5+ /1+ y2 D3- U4+ DR2- /1+
BinusSpeedcubing2024,22.2,c,B,3,UR0+ DR1- DL5+ UL4+ U5- R4+ D5- L0+ ALL2- y2 U0+ R5- D6+ L1- ALL3-,21,DR1+ U1+ R4- L3+ ALL1- y2 dl4- D1+ L1+ DR5+
BinusSpeedcubing2024,22.2,c,B,4,UR0+ DR5- DL2- UL3- U1+ R6+ D4+ L5+ ALL0+ y2 U3+ R0+ D1- L4- ALL2+,24,UR1+ DR3+ U1+ R5- ur3- /3- y2 U3- L3+ DL1+ /1-
BinusSpeedcubing2024,22.2,c,B,5,UR2+ DR1- DL5- UL2- U6+ R0+ D2- L3- ALL4- y2 U5+ R5+ D1+ L4- ALL5-,27,UR2- DR1+ UL2- U2- D5- ur4- ALL1- y2 U1- L4+ DR1- UR4-
